label;nz;tf;TF;entropy
aggregation;6;6;6;2.584962500721156
aggression;29;34;34;4.771142620598472
aggressor;4;5;5;1.9219280948873623
agitation;5;5;5;2.3219280948873626
agnostic;22;26;26;4.363713275750189
agnosticism;36;43;43;5.036616208140156
agnostids;9;10;10;3.121928094887362
agora;5;8;8;2.1556390622295662
agrarianism;14;14;14;3.8073549220576055
agreement;96;180;180;6.001886913793252
agricultural;7;7;7;2.807354922057604
agriculture;112;179;179;6.128931433407588
agronomy;5;5;5;2.3219280948873626
ai;33;45;45;4.781316019639962
aid;48;91;91;5.221229734488544
aide;3;5;5;1.5219280948873624
aiki;5;5;5;2.3219280948873626
aikido;39;56;56;4.999120548328319
ailanthus;6;6;6;2.584962500721156
ailment;7;7;7;2.807354922057604
aim;50;79;79;5.227910894256964
air;94;206;206;5.665290651461753
aircraft;147;217;217;6.829427472907459
airflow;11;14;14;3.3248629576173574
airframe;7;7;7;2.807354922057604
airline;17;20;20;4.021928094887362
airplane;13;13;13;3.7004397181410926
airport;85;143;143;5.914505585802924
airship;14;18;18;3.6835423624332306
aisle;8;9;9;2.9477027792200903
alabaster;54;90;90;5.304656037168765
alabastrites;5;5;5;2.3219280948873626
alanine;8;8;8;3.0
alarm;6;7;7;2.5216406363433186
alba;4;4;4;2.0
albedo;60;111;111;5.311881182791662
albertosaurines;5;5;5;2.3219280948873626
album;80;125;125;5.928801013119842
alcalisatum;2;2;2;1.0
alchemist;46;67;67;5.093355410102933
alchemy;62;97;97;5.511586745122218
alcohol;126;241;241;6.467018912205136
alcoholic;9;12;12;2.9182958340544896
aldehyde;13;17;17;3.572469458770136
alder;34;37;37;5.026888838543448
alert;7;7;7;2.807354922057604
alga;11;14;14;3.3248629576173574
algae;71;112;112;5.721305308392561
algebra;19;37;37;3.901173042478499
algorithm;115;199;199;6.306222838827794
alibi;5;5;5;2.3219280948873626
alien;28;32;32;4.75
alienation;6;6;6;2.584962500721156
alif;14;15;15;3.773557262275185
alignment;12;13;13;3.5465935642949384
alkali;9;25;25;2.0038561897747247
alkaloid;7;7;7;2.807354922057604
alkane;119;241;241;6.137857223736321
alkanols;3;3;3;1.584962500721156
alkenes;3;4;4;1.5
alkoxide;4;5;5;1.9219280948873623
alkyl;8;16;16;2.60845859334435
alkyne;5;5;5;2.3219280948873626
all;326;761;761;6.885664759333189
allegation;14;18;18;3.5249449750847117
allegiance;48;89;89;5.107771566226464
allegory;19;28;28;4.0836169753972325
allemand;2;2;2;1.0
allergen;4;4;4;2.0
allergy;8;9;9;2.94770277922009
alliance;102;197;197;5.847196993393819
alligator;13;14;14;3.6644977792004623
allocation;9;11;11;3.0957952550009344
allocutio;5;5;5;2.3219280948873626
allocution;9;9;9;3.169925001442312
allosaur;4;5;5;1.9219280948873623
allosaurid;6;7;7;2.5216406363433186
allosaurs;10;11;11;3.277613436819116
allotrope;12;14;14;3.521640636343319
alloy;42;72;72;5.051239759164753
allusion;10;13;13;3.238901256602631
ally;77;119;119;5.777770521171416
almanac;8;8;8;3.0
almond;99;186;186;5.942656013137594
alms;10;12;12;3.2516291673878226
aloe;15;23;23;3.5840123702119344
aloin;6;6;6;2.584962500721156
alp;16;25;25;3.5590795706241733
alpaca;3;5;5;1.5219280948873624
alpha;28;77;77;4.129047088518109
alphabet;158;408;408;6.172379480522239
alphorn;25;39;39;4.104536890528651
alpinum;4;4;4;2.0
als;4;4;4;2.0
altar;22;34;34;4.160704752887782
altarpiece;7;7;7;2.807354922057604
alteration;13;13;13;3.7004397181410926
alternate;21;67;67;2.6259882312050653
alternation;7;7;7;2.807354922057604
alternative;61;104;104;5.561453426518491
altitude;26;35;35;4.4547218605324845
alto;3;3;3;1.584962500721156
altruism;43;58;58;5.133566987696477
aluminium;11;15;15;3.323231428797621
amalgam;12;13;13;3.546593564294939
amaranth;38;50;50;5.103465189601648
amaryllis;7;7;7;2.807354922057604
amateur;41;52;52;5.209867121904037
ambassador;26;41;41;4.424267553240269
amber;108;175;175;6.2519931974110285
ambergris;32;43;43;4.813136197106742
ambiguity;58;81;81;5.600661077194161
ambition;32;41;41;4.863291943484171
ambrosia;20;24;24;4.220175521464346
ambush;5;6;6;2.2516291673878226
amendment;41;82;82;4.8839572206054624
amenity;9;10;10;3.1219280948873624
americano;14;17;17;3.734521664779752
americium;25;38;38;4.416094869379459
amethyst;40;53;53;5.078743625194014
amiability;5;5;5;2.3219280948873626
amicitiae;3;3;3;1.584962500721156
amide;12;15;15;3.5068905956085183
amides;11;16;16;3.327819531114783
amine;76;140;140;5.858472995529008
aminoglycosides;3;4;4;1.5
amir;8;12;12;2.792481250360578
amity;6;7;7;2.521640636343318
ammonia;162;329;329;6.5029039693488855
ammonite;26;36;36;4.336591668108977
ammonium;18;37;37;3.5990801514269526
ammunition;11;14;14;3.378783493486176
amnesty;12;12;12;3.584962500721156
amoeba;26;31;31;4.631615665225585
amoebae;4;4;4;2.0
amoeboids;14;14;14;3.8073549220576055
amount;158;398;398;5.877339276099861
amp;6;7;7;2.5216406363433186
ampere;17;32;32;3.613608500731241
amphibian;52;65;65;5.54360757489363
amplifier;17;24;24;3.9701755214643457
amplitude;10;15;15;2.9995812306460645
amricain;3;3;3;1.584962500721156
amulet;10;10;10;3.321928094887362
amygdalin;3;3;3;1.584962500721156
ana;22;24;24;4.418295834054489
anaconda;14;17;17;3.734521664779752
anagram;62;93;93;5.668258612616733
anagrammatists;5;5;5;2.3219280948873626
analgesic;6;6;6;2.584962500721156
analog;18;31;31;3.662612438860818
analogue;13;18;18;3.5724312513221195
analogy;28;38;38;4.681880802803405
analysis;161;314;314;6.344942492623876
analyst;25;25;25;4.643856189774723
anarchism;82;142;142;5.6432359218976735
anarchist;104;156;156;6.374152360410842
anarchy;9;9;9;3.169925001442312
anatomist;8;8;8;3.0
anatomy;52;102;102;5.222136955410336
anbargris;7;7;7;2.807354922057604
ancestor;51;92;92;5.0616443657448755
ancestry;25;30;30;4.548394345536403
anchor;117;216;216;6.101123758233797
ancient;6;6;6;2.584962500721156
ancients;3;6;6;1.4591479170272448
andn;5;5;5;2.3219280948873626
android;32;38;38;4.912272579176127
anemone;7;7;7;2.807354922057604
angel;47;76;76;5.0070885328672965
anger;20;25;25;4.213660689688185
angiosperm;10;13;13;3.180832987205441
angle;75;140;140;5.547647096457212
anguish;5;5;5;2.3219280948873626
anhydride;12;14;14;3.521640636343319
aniline;4;4;4;2.0
animal;216;452;452;6.770620987904258
animales;7;7;7;2.807354922057604
animalism;6;6;6;2.584962500721156
animation;66;101;101;5.73971488898438
animators;10;13;13;3.1808329872054406
anime;77;103;103;6.04719497930008
animism;26;35;35;4.329283016944965
anion;18;21;21;4.070656113151928
anisotropy;23;29;29;4.39212668463354
ankle;4;5;5;1.9219280948873623
anna;28;34;34;4.6901165175936645
annals;5;5;5;2.3219280948873626
annex;7;7;7;2.807354922057604
annexation;9;10;10;3.121928094887362
annihilation;8;11;11;2.7321588913645707
anniversary;22;53;53;3.763521701007449
annotation;6;7;7;2.5216406363433186
announcement;12;15;15;3.4565647621309536
annual;53;69;69;5.511984464622655
annulment;7;7;7;2.807354922057604
anode;7;7;7;2.807354922057604
anomaly;7;8;8;2.75
another;54;92;92;5.205816853695949
answer;30;49;49;4.456120049560781
ant;20;29;29;4.116264615668023
antagonism;8;10;10;2.8464393446710154
antagonist;11;11;11;3.459431618637298
antarctic;7;13;13;2.5654483718208256
anteater;5;5;5;2.3219280948873626
antecedent;11;14;14;3.2359263506290334
antenna;9;11;11;3.0271691184406193
anthem;19;26;26;3.9941117190410806
anther;2;3;3;0.9182958340544896
anthology;18;24;24;4.0220552088742005
anthophyte;7;7;7;2.807354922057604
anthropologist;67;93;93;5.856258004609896
anthropology;98;185;185;6.072653542969276
antibiotic;105;208;208;5.88025180829015
anticyclone;3;4;4;1.5
antidote;7;7;7;2.807354922057604
antielectron;15;18;18;3.836591668108979
antimicrobial;6;6;6;2.584962500721156
antimony;58;96;96;5.357105178003167
antineutron;4;4;4;2.0
antiparticle;17;31;31;3.9377519554085865
antiphon;5;5;5;2.3219280948873626
antipope;4;6;6;1.7924812503605778
antiproton;32;49;49;4.665131782625805
antiquity;34;59;59;4.566954017066242
antistrophe;4;4;4;2.0
anxiety;61;92;92;5.529171266324801
any;75;174;174;5.408616042150325
anyone;28;39;39;4.541311192999328
anything;33;49;49;4.8263590179296845
anywhere;3;5;5;1.3709505944546687
ap;3;7;7;1.3787834934861758
apartment;38;54;54;5.046282640932165
ape;6;8;8;2.4056390622295662
apeiron;9;11;11;3.0271691184406193
aperture;8;8;8;3.0
apex;11;11;11;3.459431618637298
aphorism;8;9;9;2.94770277922009
aphrodisia;6;8;8;2.4056390622295662
aphrodisiac;3;4;4;1.5
apocalypse;9;15;15;2.8159220638351665
apostle;17;24;24;3.8512274809529563
app;6;6;6;2.584962500721156
apparatus;17;17;17;4.08746284125034
apparition;10;10;10;3.321928094887362
appeal;85;180;180;5.644472406440396
appearance;86;157;157;5.944861648836476
appellant;26;43;43;4.1516453289538715
appellee;9;12;12;3.0220552088742
appendage;5;5;5;2.3219280948873626
appendix;7;8;8;2.75
applause;9;10;10;3.121928094887362
apple;181;325;325;6.99905544769781
applet;10;12;12;3.188721875540867
applets;16;17;17;3.969815782426811
applicant;6;6;6;2.584962500721156
application;136;254;254;6.464277068105656
appointment;30;41;41;4.696102846599455
appreciation;24;30;30;4.41506101220307
apprehension;3;4;4;1.5
apprentice;3;5;5;1.5219280948873624
apprenticeship;6;6;6;2.584962500721156
approach;141;237;237;6.429397236577219
appropriateness;4;5;5;1.9219280948873623
appropriation;10;10;10;3.321928094887362
approval;41;58;58;5.101527495456412
approximation;23;34;34;4.359377914716119
apps;7;8;8;2.75
apse;12;13;13;3.546593564294939
aptitude;5;6;6;2.2516291673878226
aquaculture;8;11;11;2.7321588913645707
aquaculturists;7;7;7;2.807354922057604
aqueduct;9;11;11;3.0271691184406193
aquis;5;5;5;2.3219280948873626
ar;4;5;5;1.9219280948873623
arachnophobia;5;5;5;2.3219280948873626
arak;4;4;4;2.0
arapaima;5;6;6;2.2516291673878226
arc;24;35;35;4.364857659740295
arcade;9;11;11;3.0957952550009344
arch;17;20;20;3.9841837197791885
archaea;8;8;8;3.0
archaeologist;37;44;44;5.089780198035242
archaeology;26;33;33;4.597276316262592
archbishop;40;106;106;4.001287620899197
archbishopric;5;7;7;2.2359263506290326
archdeacon;7;8;8;2.75
archdeaconry;5;5;5;2.3219280948873626
archdiocese;7;8;8;2.75
arche;11;12;12;3.418295834054489
archeology;9;9;9;3.169925001442312
archer;7;7;7;2.807354922057604
archimandrite;8;11;11;2.845350936622437
