label;nz;tf;TF;entropy
N:conj-R:N:novelist;2;2;2;1.0
N:conj-R:N:nucleus;4;4;4;2.0
N:conj-R:N:number;24;27;27;4.504706483564823
N:conj-R:N:numeral;3;4;4;1.5
N:conj-R:N:nurse;1;1;1;0.0
N:conj-R:N:nursing;2;2;2;1.0
N:conj-R:N:nut;1;1;1;0.0
N:conj-R:N:nutrient;2;2;2;1.0
N:conj-R:N:oat;1;1;1;0.0
N:conj-R:N:object;11;11;11;3.459431618637298
N:conj-R:N:observation;6;6;6;2.584962500721156
N:conj-R:N:occupation;2;2;2;1.0
N:conj-R:N:ocean;5;5;5;2.3219280948873626
N:conj-R:N:offering;2;2;2;1.0
N:conj-R:N:office;7;8;8;2.75
N:conj-R:N:officer;6;6;6;2.584962500721156
N:conj-R:N:official;4;4;4;2.0
N:conj-R:N:oil;8;11;11;2.7321588913645707
N:conj-R:N:old;3;3;3;1.584962500721156
N:conj-R:N:olive;2;2;2;1.0
N:conj-R:N:one;31;40;40;4.762814895472355
N:conj-R:N:onset;2;2;2;1.0
N:conj-R:N:operation;2;2;2;1.0
N:conj-R:N:opinion;5;5;5;2.3219280948873626
N:conj-R:N:opportunity;3;3;3;1.584962500721156
N:conj-R:N:opposition;2;2;2;1.0
N:conj-R:N:optimism;2;2;2;1.0
N:conj-R:N:orbit;3;3;3;1.584962500721156
N:conj-R:N:order;8;12;12;2.617492461184755
N:conj-R:N:ore;4;4;4;2.0
N:conj-R:N:organisation;2;2;2;1.0
N:conj-R:N:organism;2;2;2;1.0
N:conj-R:N:organization;5;6;6;2.251629167387823
N:conj-R:N:organs;2;2;2;1.0
N:conj-R:N:origin;9;9;9;3.169925001442312
N:conj-R:N:ornament;2;2;2;1.0
N:conj-R:N:orthodoxy;1;1;1;0.0
N:conj-R:N:oscillation;2;2;2;1.0
N:conj-R:N:others;7;7;7;2.807354922057604
N:conj-R:N:ottoman;1;1;1;0.0
N:conj-R:N:outsider;2;2;2;1.0
N:conj-R:N:ownership;3;3;3;1.584962500721156
N:conj-R:N:oxidizer;1;1;1;0.0
N:conj-R:N:oxygen;5;8;8;2.0
N:conj-R:N:pacifism;2;2;2;1.0
N:conj-R:N:pagan;2;2;2;1.0
N:conj-R:N:pageant;2;2;2;1.0
N:conj-R:N:pain;6;6;6;2.584962500721156
N:conj-R:N:pains;2;2;2;1.0
N:conj-R:N:painter;3;3;3;1.584962500721156
N:conj-R:N:painting;7;7;7;2.807354922057604
N:conj-R:N:palace;4;5;5;1.9219280948873623
N:conj-R:N:pan;2;2;2;1.0
N:conj-R:N:pantheism;2;2;2;1.0
N:conj-R:N:paper;9;9;9;3.169925001442312
N:conj-R:N:papyrus;2;2;2;1.0
N:conj-R:N:paracetamol;2;4;4;1.0
N:conj-R:N:parent;6;6;6;2.584962500721156
N:conj-R:N:parish;3;3;3;1.584962500721156
N:conj-R:N:park;4;4;4;2.0
N:conj-R:N:parliament;2;2;2;1.0
N:conj-R:N:parsley;1;1;1;0.0
N:conj-R:N:part;10;10;10;3.321928094887362
N:conj-R:N:particle;7;10;10;2.5219280948873624
N:conj-R:N:particular;1;1;1;0.0
N:conj-R:N:party;5;5;5;2.3219280948873626
N:conj-R:N:pass;2;2;2;1.0
N:conj-R:N:passenger;3;3;3;1.584962500721156
N:conj-R:N:passing;2;2;2;1.0
N:conj-R:N:patron;2;2;2;1.0
N:conj-R:N:pattern;5;5;5;2.3219280948873626
N:conj-R:N:peace;15;16;16;3.875
N:conj-R:N:pelvis;2;2;2;1.0
N:conj-R:N:penicillin;1;2;2;0.0
N:conj-R:N:people;24;26;26;4.517559429596343
N:conj-R:N:pepper;1;1;1;0.0
N:conj-R:N:perception;5;5;5;2.3219280948873626
N:conj-R:N:perceptrons;2;2;2;1.0
N:conj-R:N:perforation;1;1;1;0.0
N:conj-R:N:performance;2;2;2;1.0
N:conj-R:N:perfume;2;2;2;1.0
N:conj-R:N:period;8;8;8;3.0
N:conj-R:N:person;8;9;9;2.9477027792200903
N:conj-R:N:personnel;2;2;2;1.0
N:conj-R:N:pest;1;2;2;0.0
N:conj-R:N:pesticide;7;10;10;2.5219280948873624
N:conj-R:N:petition;2;2;2;1.0
N:conj-R:N:petroleum;3;3;3;1.584962500721156
N:conj-R:N:pharaoh;3;3;3;1.584962500721156
N:conj-R:N:phenomena;2;2;2;1.0
N:conj-R:N:philology;2;2;2;1.0
N:conj-R:N:philosopher;5;5;5;2.3219280948873626
N:conj-R:N:philosophy;15;17;17;3.807763576417195
N:conj-R:N:phonology;1;2;2;0.0
N:conj-R:N:phosphorus;2;2;2;1.0
N:conj-R:N:photography;2;2;2;1.0
N:conj-R:N:photon;2;2;2;1.0
N:conj-R:N:physic;10;14;14;3.2359263506290326
N:conj-R:N:physician;4;4;4;2.0
N:conj-R:N:physicist;2;2;2;1.0
N:conj-R:N:physiology;4;5;5;1.9219280948873623
N:conj-R:N:pianist;2;2;2;1.0
N:conj-R:N:picture;3;3;3;1.584962500721156
N:conj-R:N:piece;7;7;7;2.807354922057604
N:conj-R:N:piety;4;4;4;2.0
N:conj-R:N:pillar;2;2;2;1.0
N:conj-R:N:pin;1;1;1;0.0
N:conj-R:N:pine;3;3;3;1.584962500721156
N:conj-R:N:pink;3;3;3;1.584962500721156
N:conj-R:N:pirate;2;2;2;1.0
N:conj-R:N:pitch;1;2;2;0.0
N:conj-R:N:pity;2;2;2;1.0
N:conj-R:N:place;16;16;16;4.0
N:conj-R:N:plain;5;5;5;2.3219280948873626
N:conj-R:N:plaintiff;1;2;2;0.0
N:conj-R:N:plan;4;4;4;2.0
N:conj-R:N:plane;2;2;2;1.0
N:conj-R:N:planet;3;3;3;1.584962500721156
N:conj-R:N:planning;4;4;4;2.0
N:conj-R:N:plant;11;11;11;3.459431618637298
N:conj-R:N:planting;1;1;1;0.0
N:conj-R:N:plateau;3;3;3;1.584962500721156
N:conj-R:N:platform;3;3;3;1.584962500721156
N:conj-R:N:play;4;6;6;1.9182958340544893
N:conj-R:N:player;3;3;3;1.584962500721156
N:conj-R:N:pleasure;2;2;2;1.0
N:conj-R:N:plot;4;4;4;2.0
N:conj-R:N:plutonium;2;4;4;0.8112781244591328
N:conj-R:N:poem;4;4;4;2.0
N:conj-R:N:poet;4;5;5;1.9219280948873623
N:conj-R:N:poetry;9;9;9;3.169925001442312
N:conj-R:N:pogrom;2;2;2;1.0
N:conj-R:N:point;8;8;8;3.0
N:conj-R:N:police;5;5;5;2.3219280948873626
N:conj-R:N:policy;11;11;11;3.459431618637298
N:conj-R:N:politician;4;4;4;2.0
N:conj-R:N:politics;9;9;9;3.169925001442312
N:conj-R:N:pollution;2;2;2;1.0
N:conj-R:N:polyethylene;1;1;1;0.0
N:conj-R:N:polypeptide;1;1;1;0.0
N:conj-R:N:pool;2;2;2;1.0
N:conj-R:N:pope;5;5;5;2.3219280948873626
N:conj-R:N:poplar;2;2;2;1.0
N:conj-R:N:popularity;4;4;4;2.0
N:conj-R:N:population;5;5;5;2.3219280948873626
N:conj-R:N:port;4;4;4;2.0
N:conj-R:N:position;10;11;11;3.277613436819116
N:conj-R:N:positive;3;3;3;1.584962500721156
N:conj-R:N:post;2;2;2;1.0
N:conj-R:N:pot;0;0;0;0.0
N:conj-R:N:potato;4;4;4;2.0
N:conj-R:N:pottery;2;2;2;1.0
N:conj-R:N:poverty;3;3;3;1.584962500721156
N:conj-R:N:power;18;20;20;4.1219280948873624
N:conj-R:N:practice;9;9;9;3.169925001442312
N:conj-R:N:prairie;2;2;2;1.0
N:conj-R:N:prayer;7;7;7;2.807354922057604
N:conj-R:N:precept;2;2;2;1.0
N:conj-R:N:precipitation;2;2;2;1.0
N:conj-R:N:predictor;2;2;2;1.0
N:conj-R:N:preference;2;2;2;1.0
N:conj-R:N:pregnancy;2;2;2;1.0
N:conj-R:N:preparation;4;4;4;2.0
N:conj-R:N:presence;6;9;9;2.2810361125534233
N:conj-R:N:present;2;2;2;1.0
N:conj-R:N:presentation;2;2;2;1.0
N:conj-R:N:preservation;3;3;3;1.584962500721156
N:conj-R:N:president;14;14;14;3.8073549220576055
N:conj-R:N:press;2;3;3;0.9182958340544896
N:conj-R:N:pressure;3;4;4;1.5
N:conj-R:N:price;8;8;8;3.0
N:conj-R:N:pride;1;1;1;0.0
N:conj-R:N:priest;9;13;13;2.968918563962097
N:conj-R:N:primary;2;3;3;0.9182958340544896
N:conj-R:N:prime;3;3;3;1.584962500721156
N:conj-R:N:prince;3;3;3;1.584962500721156
N:conj-R:N:principle;8;8;8;3.0
N:conj-R:N:printer;2;2;2;1.0
N:conj-R:N:prior;2;2;2;1.0
N:conj-R:N:prison;3;4;4;1.5
N:conj-R:N:privatization;2;2;2;1.0
N:conj-R:N:privilege;3;3;3;1.584962500721156
N:conj-R:N:prize;3;5;5;1.3709505944546687
N:conj-R:N:problem;8;8;8;3.0
N:conj-R:N:procedure;3;4;4;1.5
N:conj-R:N:process;12;12;12;3.584962500721156
N:conj-R:N:processing;4;4;4;2.0
N:conj-R:N:proconsul;3;3;3;1.584962500721156
N:conj-R:N:produce;3;3;3;1.584962500721156
N:conj-R:N:producer;6;7;7;2.5216406363433186
N:conj-R:N:product;7;7;7;2.807354922057604
N:conj-R:N:production;10;10;10;3.321928094887362
N:conj-R:N:productivity;3;3;3;1.584962500721156
N:conj-R:N:professor;10;10;10;3.321928094887362
N:conj-R:N:program;8;9;9;2.9477027792200903
N:conj-R:N:programme;2;2;2;1.0
N:conj-R:N:progress;2;2;2;1.0
N:conj-R:N:project;3;3;3;1.584962500721156
N:conj-R:N:proliferation;1;1;1;0.0
N:conj-R:N:pronoun;1;2;2;0.0
N:conj-R:N:pronunciation;3;3;3;1.584962500721156
N:conj-R:N:propane;1;2;2;0.0
N:conj-R:N:propeller;0;0;0;0.0
N:conj-R:N:property;9;10;10;3.1219280948873624
N:conj-R:N:propulsion;2;2;2;1.0
N:conj-R:N:prosperity;3;3;3;1.584962500721156
N:conj-R:N:prostaglandin;1;1;1;0.0
N:conj-R:N:protection;3;3;3;1.584962500721156
N:conj-R:N:protein;2;2;2;1.0
N:conj-R:N:protest;2;2;2;1.0
N:conj-R:N:proton;5;15;15;1.6879430945989002
N:conj-R:N:province;7;9;9;2.725480556997868
N:conj-R:N:proximity;2;2;2;1.0
N:conj-R:N:psyche;2;2;2;1.0
N:conj-R:N:psychologist;2;2;2;1.0
N:conj-R:N:psychology;3;3;3;1.584962500721156
N:conj-R:N:public;4;4;4;2.0
N:conj-R:N:publication;2;2;2;1.0
N:conj-R:N:pulp;2;2;2;1.0
N:conj-R:N:pulse;2;2;2;1.0
N:conj-R:N:purity;2;2;2;1.0
N:conj-R:N:pursuit;3;3;3;1.584962500721156
N:conj-R:N:pyramid;2;2;2;1.0
N:conj-R:N:rabbit;1;1;1;0.0
N:conj-R:N:race;6;7;7;2.521640636343318
N:conj-R:N:racing;2;2;2;1.0
N:conj-R:N:radar;2;2;2;1.0
N:conj-R:N:radiation;2;2;2;1.0
N:conj-R:N:radio;2;2;2;1.0
N:conj-R:N:railroad;4;4;4;2.0
N:conj-R:N:railway;7;7;7;2.807354922057604
N:conj-R:N:rainbow;1;2;2;0.0
N:conj-R:N:rainfall;4;4;4;2.0
N:conj-R:N:rally;2;2;2;1.0
N:conj-R:N:ram;2;2;2;1.0
N:conj-R:N:rand;3;3;3;1.584962500721156
N:conj-R:N:range;2;2;2;1.0
N:conj-R:N:rank;3;3;3;1.584962500721156
N:conj-R:N:rape;3;3;3;1.584962500721156
N:conj-R:N:rapid;1;1;1;0.0
N:conj-R:N:rash;0;0;0;0.0
N:conj-R:N:ray;4;4;4;2.0
N:conj-R:N:rayons;2;2;2;1.0
N:conj-R:N:reaction;6;6;6;2.584962500721156
N:conj-R:N:reader;1;1;1;0.0
N:conj-R:N:reading;2;2;2;1.0
N:conj-R:N:reagent;1;1;1;0.0
N:conj-R:N:real;3;3;3;1.584962500721156
N:conj-R:N:reason;10;13;13;3.085055102756477
N:conj-R:N:reasoning;2;2;2;1.0
N:conj-R:N:rebel;3;3;3;1.584962500721156
N:conj-R:N:rebellion;2;2;2;1.0
N:conj-R:N:recession;3;3;3;1.584962500721156
N:conj-R:N:recognition;7;7;7;2.807354922057604
N:conj-R:N:reconstruction;3;3;3;1.584962500721156
N:conj-R:N:recording;2;2;2;1.0
N:conj-R:N:recovery;2;2;2;1.0
N:conj-R:N:rector;2;2;2;1.0
N:conj-R:N:red;6;9;9;2.4193819456463714
N:conj-R:N:reduction;3;3;3;1.584962500721156
N:conj-R:N:refinery;2;2;2;1.0
N:conj-R:N:reform;2;2;2;1.0
N:conj-R:N:regard;2;2;2;1.0
N:conj-R:N:region;9;9;9;3.169925001442312
N:conj-R:N:regulation;3;4;4;1.5
N:conj-R:N:rehabilitation;2;2;2;1.0
N:conj-R:N:reign;3;3;3;1.584962500721156
N:conj-R:N:relation;7;7;7;2.807354922057604
N:conj-R:N:relationship;4;4;4;2.0
N:conj-R:N:relative;3;5;5;1.5219280948873624
N:conj-R:N:relaxation;2;2;2;1.0
N:conj-R:N:relief;2;2;2;1.0
N:conj-R:N:religion;15;17;17;3.8521687236032816
N:conj-R:N:religious;4;4;4;2.0
N:conj-R:N:remains;2;2;2;1.0
N:conj-R:N:renewal;3;3;3;1.584962500721156
N:conj-R:N:rent;2;2;2;1.0
N:conj-R:N:reorganization;1;1;1;0.0
N:conj-R:N:repair;2;2;2;1.0
N:conj-R:N:replica;2;2;2;1.0
N:conj-R:N:report;3;3;3;1.584962500721156
N:conj-R:N:representative;3;3;3;1.584962500721156
N:conj-R:N:reproduction;2;2;2;1.0
N:conj-R:N:reptile;3;3;3;1.584962500721156
N:conj-R:N:reputation;3;3;3;1.584962500721156
N:conj-R:N:request;2;2;2;1.0
N:conj-R:N:rescue;2;2;2;1.0
N:conj-R:N:research;9;9;9;3.169925001442312
N:conj-R:N:researcher;2;2;2;1.0
N:conj-R:N:reserve;3;3;3;1.584962500721156
N:conj-R:N:reserves;3;3;3;1.584962500721156
N:conj-R:N:residence;2;2;2;1.0
N:conj-R:N:resident;2;2;2;1.0
N:conj-R:N:resin;1;1;1;0.0
N:conj-R:N:resistance;5;6;6;2.2516291673878226
N:conj-R:N:resolution;3;3;3;1.584962500721156
N:conj-R:N:resource;3;3;3;1.584962500721156
N:conj-R:N:respect;3;3;3;1.584962500721156
N:conj-R:N:response;3;3;3;1.584962500721156
N:conj-R:N:rest;2;2;2;1.0
N:conj-R:N:restaurant;2;2;2;1.0
N:conj-R:N:restoration;3;3;3;1.584962500721156
N:conj-R:N:restriction;2;2;2;1.0
N:conj-R:N:result;13;13;13;3.7004397181410926
N:conj-R:N:retaliation;3;4;4;1.5
N:conj-R:N:return;5;5;5;2.3219280948873626
N:conj-R:N:revenue;1;1;1;0.0
N:conj-R:N:review;3;3;3;1.584962500721156
N:conj-R:N:revision;3;4;4;1.5
N:conj-R:N:revival;1;1;1;0.0
N:conj-R:N:revolt;4;4;4;2.0
N:conj-R:N:revolution;4;5;5;1.9219280948873623
N:conj-R:N:reward;5;7;7;2.128085278891394
N:conj-R:N:rhetoric;4;4;4;2.0
N:conj-R:N:rhythm;2;2;2;1.0
N:conj-R:N:rice;5;5;5;2.3219280948873626
N:conj-R:N:ridge;2;2;2;1.0
N:conj-R:N:riding;3;3;3;1.584962500721156
N:conj-R:N:rifle;2;2;2;1.0
N:conj-R:N:right;14;16;16;3.75
N:conj-R:N:ring;6;7;7;2.521640636343318
N:conj-R:N:rise;4;4;4;2.0
N:conj-R:N:risk;2;2;2;1.0
N:conj-R:N:ritual;3;3;3;1.584962500721156
N:conj-R:N:river;11;13;13;3.334679141051595
N:conj-R:N:road;14;15;15;3.7735572622751845
N:conj-R:N:robot;1;1;1;0.0
N:conj-R:N:rock;8;8;8;3.0
N:conj-R:N:rod;3;3;3;1.584962500721156
N:conj-R:N:role;7;8;8;2.75
N:conj-R:N:roof;2;2;2;1.0
N:conj-R:N:room;3;3;3;1.584962500721156
N:conj-R:N:root;5;5;5;2.3219280948873626
N:conj-R:N:rose;3;3;3;1.584962500721156
N:conj-R:N:rotation;4;4;4;2.0
N:conj-R:N:round;3;3;3;1.584962500721156
N:conj-R:N:route;2;2;2;1.0
N:conj-R:N:royalty;2;2;2;1.0
N:conj-R:N:rubber;2;2;2;1.0
N:conj-R:N:rule;13;13;13;3.7004397181410926
N:conj-R:N:ruling;2;2;2;1.0
N:conj-R:N:run;2;2;2;1.0
N:conj-R:N:s;5;5;5;2.3219280948873626
N:conj-R:N:sacrifice;2;2;2;1.0
N:conj-R:N:safety;3;3;3;1.584962500721156
N:conj-R:N:sail;2;2;2;1.0
N:conj-R:N:salamander;1;1;1;0.0
N:conj-R:N:sales;2;2;2;1.0
N:conj-R:N:salt;3;3;3;1.584962500721156
N:conj-R:N:salvation;3;3;3;1.584962500721156
N:conj-R:N:samurai;2;2;2;1.0
N:conj-R:N:sand;5;7;7;2.1280852788913944
N:conj-R:N:sanitation;2;2;2;1.0
N:conj-R:N:saxophone;2;2;2;1.0
N:conj-R:N:scheme;2;2;2;1.0
N:conj-R:N:scholar;12;13;13;3.546593564294939
N:conj-R:N:scholarship;3;3;3;1.584962500721156
N:conj-R:N:school;10;16;16;2.771782221599798
N:conj-R:N:science;12;18;18;3.392147223664535
N:conj-R:N:scientist;7;8;8;2.75
N:conj-R:N:sclerosis;2;2;2;1.0
N:conj-R:N:scope;2;2;2;1.0
N:conj-R:N:scribe;2;2;2;1.0
N:conj-R:N:script;5;5;5;2.3219280948873626
N:conj-R:N:sculpture;2;3;3;0.9182958340544896
N:conj-R:N:sea;4;4;4;2.0
N:conj-R:N:seabed;2;2;2;1.0
N:conj-R:N:search;2;2;2;1.0
N:conj-R:N:second;7;7;7;2.807354922057604
N:conj-R:N:secondary;1;1;1;0.0
N:conj-R:N:secretary;1;1;1;0.0
N:conj-R:N:section;2;2;2;1.0
N:conj-R:N:security;7;8;8;2.75
N:conj-R:N:seed;5;5;5;2.3219280948873626
N:conj-R:N:selection;1;2;2;0.0
N:conj-R:N:self;2;2;2;1.0
N:conj-R:N:seminar;2;2;2;1.0
N:conj-R:N:senate;5;7;7;2.2359263506290326
N:conj-R:N:senator;3;4;4;1.5
N:conj-R:N:sensation;2;2;2;1.0
N:conj-R:N:sense;2;2;2;1.0
N:conj-R:N:series;10;12;12;3.188721875540867
N:conj-R:N:service;7;7;7;2.807354922057604
N:conj-R:N:set;3;3;3;1.584962500721156
N:conj-R:N:setting;2;2;2;1.0
N:conj-R:N:settlement;4;4;4;2.0
N:conj-R:N:settler;3;3;3;1.584962500721156
N:conj-R:N:setup;1;1;1;0.0
N:conj-R:N:sex;6;6;6;2.584962500721156
N:conj-R:N:sexuality;3;3;3;1.584962500721156
N:conj-R:N:shah;5;5;5;2.3219280948873626
N:conj-R:N:shape;6;7;7;2.521640636343318
N:conj-R:N:shark;3;3;3;1.584962500721156
N:conj-R:N:she;2;3;3;0.9182958340544896
N:conj-R:N:sheep;3;4;4;1.5
N:conj-R:N:shelf;2;2;2;1.0
N:conj-R:N:shell;3;3;3;1.584962500721156
N:conj-R:N:shelter;4;4;4;2.0
N:conj-R:N:shield;1;2;2;0.0
N:conj-R:N:ship;8;9;9;2.9477027792200903
N:conj-R:N:shipbuilding;3;3;3;1.584962500721156
N:conj-R:N:shop;3;3;3;1.584962500721156
N:conj-R:N:shore;2;2;2;1.0
N:conj-R:N:shortage;5;5;5;2.3219280948873626
N:conj-R:N:shot;2;2;2;1.0
N:conj-R:N:show;4;4;4;2.0
N:conj-R:N:shrub;2;2;2;1.0
N:conj-R:N:side;8;8;8;3.0
N:conj-R:N:sight;6;6;6;2.584962500721156
N:conj-R:N:sign;5;5;5;2.3219280948873626
N:conj-R:N:signal;2;2;2;1.0
N:conj-R:N:silver;7;11;11;2.7321588913645702
N:conj-R:N:similarity;1;3;3;0.0
N:conj-R:N:simulation;2;2;2;1.0
N:conj-R:N:sin;4;4;4;2.0
N:conj-R:N:single;2;2;2;1.0
N:conj-R:N:singles;2;2;2;1.0
N:conj-R:N:sister;4;4;4;2.0
N:conj-R:N:site;3;3;3;1.584962500721156
N:conj-R:N:situation;2;2;2;1.0
N:conj-R:N:six;3;3;3;1.584962500721156
N:conj-R:N:size;18;19;19;4.142664355548851
N:conj-R:N:skeleton;2;2;2;1.0
N:conj-R:N:skepticism;2;2;2;1.0
N:conj-R:N:skill;5;5;5;2.3219280948873626
N:conj-R:N:skull;4;5;5;1.9219280948873625
N:conj-R:N:sky;3;3;3;1.584962500721156
N:conj-R:N:slave;6;6;6;2.584962500721156
N:conj-R:N:slavery;5;5;5;2.3219280948873626
N:conj-R:N:small;4;4;4;2.0
N:conj-R:N:snafu;2;2;2;1.0
N:conj-R:N:snail;2;2;2;1.0
N:conj-R:N:snake;1;1;1;0.0
N:conj-R:N:snow;5;5;5;2.3219280948873626
N:conj-R:N:soccer;3;3;3;1.584962500721156
N:conj-R:N:social;5;5;5;2.3219280948873626
N:conj-R:N:socialism;3;3;3;1.584962500721156
N:conj-R:N:socialist;3;3;3;1.584962500721156
N:conj-R:N:society;7;8;8;2.75
N:conj-R:N:sociologist;2;2;2;1.0
N:conj-R:N:sociology;5;6;6;2.251629167387823
N:conj-R:N:sodium;3;3;3;1.584962500721156
N:conj-R:N:software;3;4;4;1.5
N:conj-R:N:soil;5;5;5;2.3219280948873626
N:conj-R:N:soldier;8;9;9;2.9477027792200903
N:conj-R:N:solid;2;3;3;0.9182958340544896
N:conj-R:N:solitude;2;2;2;1.0
N:conj-R:N:solution;5;5;5;2.3219280948873626
N:conj-R:N:solvent;2;2;2;1.0
N:conj-R:N:some;5;6;6;2.2516291673878226
N:conj-R:N:something;2;2;2;1.0
N:conj-R:N:sonata;2;2;2;1.0
N:conj-R:N:song;2;2;2;1.0
N:conj-R:N:soul;2;2;2;1.0
N:conj-R:N:sound;1;1;1;0.0
N:conj-R:N:source;9;9;9;3.169925001442312
N:conj-R:N:south;10;15;15;2.872905595320056
N:conj-R:N:sovereign;2;2;2;1.0
N:conj-R:N:sovereignty;4;4;4;2.0
N:conj-R:N:soybean;2;2;2;1.0
N:conj-R:N:space;4;5;5;1.9219280948873623
N:conj-R:N:spacecraft;2;3;3;0.9182958340544896
N:conj-R:N:spasticity;2;2;2;1.0
N:conj-R:N:speaker;3;3;3;1.584962500721156
N:conj-R:N:spear;1;1;1;0.0
N:conj-R:N:specie;11;11;11;3.459431618637298
N:conj-R:N:specimen;2;2;2;1.0
N:conj-R:N:speech;4;4;4;2.0
N:conj-R:N:speed;6;6;6;2.584962500721156
N:conj-R:N:spell;3;3;3;1.584962500721156
N:conj-R:N:spelling;2;2;2;1.0
N:conj-R:N:spider;3;3;3;1.584962500721156
N:conj-R:N:spine;2;2;2;1.0
N:conj-R:N:spiritualism;3;3;3;1.584962500721156
N:conj-R:N:spirituality;3;3;3;1.584962500721156
N:conj-R:N:sponsor;2;2;2;1.0
N:conj-R:N:spread;3;3;3;1.584962500721156
N:conj-R:N:spreadsheet;2;2;2;1.0
N:conj-R:N:spring;2;4;4;0.8112781244591328
N:conj-R:N:squash;3;3;3;1.584962500721156
N:conj-R:N:squirrel;2;2;2;1.0
N:conj-R:N:stable;1;1;1;0.0
N:conj-R:N:stadium;3;3;3;1.584962500721156
N:conj-R:N:staff;2;2;2;1.0
N:conj-R:N:stage;3;3;3;1.584962500721156
N:conj-R:N:stamp;2;2;2;1.0
N:conj-R:N:standard;2;2;2;1.0
N:conj-R:N:star;13;13;13;3.7004397181410926
N:conj-R:N:state;34;41;41;4.9488962118823885
N:conj-R:N:statement;2;2;2;1.0
N:conj-R:N:statesman;2;2;2;1.0
N:conj-R:N:station;4;4;4;2.0
N:conj-R:N:statistics;5;5;5;2.3219280948873626
N:conj-R:N:statue;2;2;2;1.0
N:conj-R:N:status;2;3;3;0.9182958340544896
N:conj-R:N:stiffness;0;0;0;0.0
N:conj-R:N:stoic;2;2;2;1.0
N:conj-R:N:stomach;2;2;2;1.0
N:conj-R:N:stone;10;11;11;3.2776134368191165
N:conj-R:N:storage;3;3;3;1.584962500721156
N:conj-R:N:store;5;5;5;2.3219280948873626
N:conj-R:N:story;11;11;11;3.459431618637298
N:conj-R:N:stranger;2;2;2;1.0
N:conj-R:N:strategy;2;2;2;1.0
N:conj-R:N:straw;2;3;3;0.9182958340544896
N:conj-R:N:stream;4;4;4;2.0
N:conj-R:N:street;6;6;6;2.584962500721156
N:conj-R:N:strength;9;10;10;3.121928094887362
N:conj-R:N:stroke;3;4;4;1.5
N:conj-R:N:structure;14;14;14;3.8073549220576055
N:conj-R:N:student;6;6;6;2.584962500721156
N:conj-R:N:study;14;14;14;3.8073549220576055
N:conj-R:N:sturgeon;0;0;0;0.0
N:conj-R:N:style;10;10;10;3.321928094887362
N:conj-R:N:subject;7;7;7;2.807354922057604
N:conj-R:N:submarine;1;1;1;0.0
N:conj-R:N:substance;2;2;2;1.0
N:conj-R:N:subtraction;3;5;5;1.3709505944546687
N:conj-R:N:suburb;3;3;3;1.584962500721156
N:conj-R:N:success;9;9;9;3.169925001442312
N:conj-R:N:successor;3;3;3;1.584962500721156
N:conj-R:N:suffering;2;2;2;1.0
N:conj-R:N:sugar;2;2;2;1.0
N:conj-R:N:sulfur;1;1;1;0.0
N:conj-R:N:summers;1;2;2;0.0
N:conj-R:N:sun;4;5;5;1.9219280948873623
N:conj-R:N:sunflower;2;2;2;1.0
N:conj-R:N:sunlight;2;2;2;1.0
N:conj-R:N:supervisor;1;2;2;0.0
N:conj-R:N:supply;6;6;6;2.584962500721156
N:conj-R:N:support;5;5;5;2.3219280948873626
N:conj-R:N:surgeon;3;3;3;1.584962500721156
N:conj-R:N:surgery;1;1;1;0.0
N:conj-R:N:surplus;3;3;3;1.584962500721156
N:conj-R:N:survey;2;2;2;1.0
N:conj-R:N:surveying;2;2;2;1.0
N:conj-R:N:survival;4;4;4;2.0
N:conj-R:N:suspense;3;3;3;1.584962500721156
N:conj-R:N:suture;1;1;1;0.0
N:conj-R:N:sweet;2;2;2;1.0
N:conj-R:N:swimming;1;1;1;0.0
N:conj-R:N:sword;3;3;3;1.584962500721156
N:conj-R:N:syllabary;2;4;4;0.8112781244591328
N:conj-R:N:syllogism;1;1;1;0.0
N:conj-R:N:symbol;8;8;8;3.0
N:conj-R:N:symbolism;2;2;2;1.0
N:conj-R:N:symptom;2;2;2;1.0
N:conj-R:N:syndrome;2;2;2;1.0
N:conj-R:N:syntax;2;2;2;1.0
N:conj-R:N:system;23;26;26;4.440636352673266
N:conj-R:N:table;4;4;4;2.0
N:conj-R:N:tablet;2;2;2;1.0
N:conj-R:N:tact;2;2;2;1.0
N:conj-R:N:tail;2;2;2;1.0
N:conj-R:N:take;3;3;3;1.584962500721156
N:conj-R:N:talent;2;2;2;1.0
N:conj-R:N:tank;4;4;4;2.0
N:conj-R:N:tariff;3;3;3;1.584962500721156
N:conj-R:N:task;2;2;2;1.0
N:conj-R:N:taste;2;2;2;1.0
N:conj-R:N:tax;4;4;4;2.0
N:conj-R:N:taxation;3;3;3;1.584962500721156
N:conj-R:N:teacher;9;12;12;3.0220552088742
N:conj-R:N:teaching;4;4;4;2.0
N:conj-R:N:teachings;2;2;2;1.0
N:conj-R:N:team;3;4;4;1.5
N:conj-R:N:technician;2;2;2;1.0
N:conj-R:N:technique;5;5;5;2.3219280948873626
N:conj-R:N:technology;16;16;16;4.0
N:conj-R:N:teeth;6;6;6;2.584962500721156
N:conj-R:N:telecommunication;1;1;1;0.0
N:conj-R:N:telescope;3;3;3;1.584962500721156
N:conj-R:N:television;4;5;5;1.9219280948873625
N:conj-R:N:temperature;11;13;13;3.334679141051595
N:conj-R:N:temple;11;13;13;3.392747410448785
